text,annotations,params_str
"Подскажи материал с средняя проницаемость для кислорода, который имеет низкая проницаемость для водорода, и с маленькая диэлектрической проницаемостью на 15 ГГц, который подходит для уменьшать массу конструкции без потери прочности","[{'param': 'permO2', 'label': 'средняя', 'phrase': 'средняя проницаемость для кислорода', 'code': 'проницаем_O2'}, {'param': 'permH2', 'label': 'низкая', 'phrase': 'низкая проницаемость для водорода', 'code': 'пермеаб_H2'}, {'param': 'epse_15.0', 'label': 'низкая', 'phrase': 'с маленькая диэлектрической проницаемостью на 15 ГГц', 'code': 'ε@15'}]",проницаем_O2:средняя|пермеаб_H2:низкая|ε@15:низкая
"Сгенерируй полимер, обладающий с большая вкладом связей, но при этом с нормальная напряжением текучести, и высокая коэффициент проницаемости метана, чтобы обеспечить обеспечивать качественную экструзию","[{'param': 'Egb', 'label': 'высокая', 'phrase': 'с большая вкладом связей', 'code': 'Egb'}, {'param': 'TSy', 'label': 'средняя', 'phrase': 'с нормальная напряжением текучести', 'code': 'TSy'}, {'param': 'permCH4', 'label': 'высокая', 'phrase': 'высокая коэффициент проницаемости метана', 'code': 'пермеаб_CH4'}]",Egb:высокая|TSy:средняя|пермеаб_CH4:высокая
"Нужен состав с умеренная коэффициент проницаемости CO2, еще , что необходимо с большое содержанием углерода, при этом значительная пермеабельность по N2, который обеспечивать высокую газонепроницаемость","[{'param': 'permCO2', 'label': 'средняя', 'phrase': 'умеренная коэффициент проницаемости CO2', 'code': 'проницаем_CO2'}, {'param': 'nc', 'label': 'высокая', 'phrase': 'с большое содержанием углерода', 'code': 'число_C'}, {'param': 'permN2', 'label': 'высокая', 'phrase': 'значительная пермеабельность по N2', 'code': 'P_N2'}]",проницаем_CO2:средняя|число_C:высокая|P_N2:высокая
"Нужен состав с средняя электронное сродство, дополнительно с большая пермеабельностью по He, который повышать устойчивость к старению","[{'param': 'Eea', 'label': 'средняя', 'phrase': 'средняя электронное сродство', 'code': 'Eea'}, {'param': 'permHe', 'label': 'высокая', 'phrase': 'с большая пермеабельностью по He', 'code': 'P_He'}]",Eea:средняя|P_He:высокая
"Можешь подобрать полимер с маленькая прочность при текучести, который имеет с умеренное электронным числом, дополнительно маленькая энергия присоединения электрона, чтобы удерживать газовые смеси без утечек","[{'param': 'TSy', 'label': 'низкая', 'phrase': 'маленькая прочность при текучести', 'code': 'σ_тек'}, {'param': 'ne', 'label': 'средняя', 'phrase': 'с умеренное электронным числом', 'code': 'ne'}, {'param': 'Eea', 'label': 'низкая', 'phrase': 'маленькая энергия присоединения электрона', 'code': 'срод_эл'}]",σ_тек:низкая|ne:средняя|срод_эл:низкая
"Подскажи материал с умеренная проницаемость для CO2, что важно с значительная ионизационной энергией, еще , что необходимо низкая удельная масса, который подходит для выдерживать высокие нагрузки","[{'param': 'permCO2', 'label': 'средняя', 'phrase': 'умеренная проницаемость для CO2', 'code': 'проницаем_CO2'}, {'param': 'Ei', 'label': 'высокая', 'phrase': 'с значительная ионизационной энергией', 'code': 'потенц_ион'}, {'param': 'rho', 'label': 'низкая', 'phrase': 'низкая удельная масса', 'code': 'удельн_масса'}]",проницаем_CO2:средняя|потенц_ион:высокая|удельн_масса:низкая
"Мне нужен полимер с небольшая энергия атомизации, что важно для большая проницаемость для метана, чтобы применяться в 3D-печати благодаря стабильной вязкости","[{'param': 'Eat', 'label': 'низкая', 'phrase': 'небольшая энергия атомизации', 'code': 'Eat'}, {'param': 'permCH4', 'label': 'высокая', 'phrase': 'большая проницаемость для метана', 'code': 'пермеаб_CH4'}]",Eat:низкая|пермеаб_CH4:высокая
"Для решения задачи требуется материал с средняя проницаемость для азота, который имеет невысокая ДП на 9 ГГц, что критично с стандартная температурой деструкции, и при этом с стандартная энергией когезии, при этом с превосходный модуль упругости, который сможет выдерживать высокие нагрузки","[{'param': 'permN2', 'label': 'средняя', 'phrase': 'средняя проницаемость для азота', 'code': 'P_N2'}, {'param': 'epse_9.0', 'label': 'низкая', 'phrase': 'невысокая ДП на 9 ГГц', 'code': 'ε@9'}, {'param': 'Td', 'label': 'средняя', 'phrase': 'с стандартная температурой деструкции', 'code': 'Td'}, {'param': 'CED', 'label': 'средняя', 'phrase': 'с стандартная энергией когезии', 'code': 'когез_энерг'}, {'param': 'YM', 'label': 'высокая', 'phrase': 'с превосходный модуль упругости', 'code': 'YM'}]",P_N2:средняя|ε@9:низкая|Td:средняя|когез_энерг:средняя|YM:высокая
"Хочу найти полимер с средняя предел текучести, что важно с выдающаяся диэлектрической проницаемостью на 7 ГГц, так как требуется сохранять механическую прочность при низких температурах","[{'param': 'TSy', 'label': 'средняя', 'phrase': 'средняя предел текучести', 'code': 'σ_тек'}, {'param': 'epse_7.0', 'label': 'высокая', 'phrase': 'с выдающаяся диэлектрической проницаемостью на 7 ГГц', 'code': 'эпс_7'}]",σ_тек:средняя|эпс_7:высокая
"Подбери полимер с превосходная температура термического разложения, а также с средняя индекс кристалличности, что важно для скромная потенциал ионизации, необходимый для повышать устойчивость к старению","[{'param': 'Td', 'label': 'высокая', 'phrase': 'превосходная температура термического разложения', 'code': 'терморазл'}, {'param': 'Xc', 'label': 'средняя', 'phrase': 'с средняя индекс кристалличности', 'code': 'Xc'}, {'param': 'Ei', 'label': 'низкая', 'phrase': 'скромная потенциал ионизации', 'code': 'ион_энерг'}]",терморазл:высокая|Xc:средняя|ион_энерг:низкая
